PS C:\dev\mystimath\conjectura\magic-square-of-squares-3x3> python src/search_non_square_center_v2.py --max-root 10000
Profil B2-1
  cible      : racines extérieures <= 50,000
  objectif   : Dépasser proprement la borne 20 000.
  arrêt      : Stop si mur mémoire persistant après réécriture raisonnable.
Recherche B2 — centre non nécessairement carré
  max-root           : 10,000
  center-block-size  : 200,000
  moduli             : [8, 3, 5, 7, 11]
  primitive-only     : False
  distinct-roots     : False
  out                : (aucune sortie CSV)
  [ 7726.5s] centers=10,613,291  results=0  rate=1,374 centers/s
  [ 7752.5s] centers=10,640,073  results=0  rate=1,372 centers/s
  [ 7778.4s] centers=10,666,747  results=0  rate=1,371 centers/s
  [ 7804.6s] centers=10,693,246  results=0  rate=1,370 centers/s
  [ 7830.8s] centers=10,719,550  results=0  rate=1,369 centers/s
  [ 7856.6s] centers=10,745,822  results=0  rate=1,368 centers/s
  [ 7882.9s] centers=10,771,794  results=0  rate=1,366 centers/s
  [ 7909.2s] centers=10,797,623  results=0  rate=1,365 centers/s
  [ 7935.4s] centers=10,823,295  results=0  rate=1,364 centers/s
  [ 7961.4s] centers=10,848,860  results=0  rate=1,363 centers/s
  [ 7987.4s] centers=10,874,190  results=0  rate=1,361 centers/s
  [ 8013.1s] centers=10,899,469  results=0  rate=1,360 centers/s
  [ 8039.3s] centers=10,924,584  results=0  rate=1,359 centers/s
  [ 8064.9s] centers=10,949,511  results=0  rate=1,358 centers/s
  [ 8091.2s] centers=10,974,245  results=0  rate=1,356 centers/s
  [ 8117.2s] centers=10,998,862  results=0  rate=1,355 centers/s
  [ 8142.8s] centers=11,023,434  results=0  rate=1,354 centers/s
  [ 8168.6s] centers=11,047,816  results=0  rate=1,352 centers/s
  [ 8194.2s] centers=11,071,955  results=0  rate=1,351 centers/s
  [ 8219.9s] centers=11,096,063  results=0  rate=1,350 centers/s
  [ 8245.8s] centers=11,119,992  results=0  rate=1,349 centers/s
  [ 8272.0s] centers=11,143,802  results=0  rate=1,347 centers/s
  [ 8297.9s] centers=11,167,371  results=0  rate=1,346 centers/s
  [ 8324.2s] centers=11,190,811  results=0  rate=1,344 centers/s
  [ 8350.3s] centers=11,214,177  results=0  rate=1,343 centers/s
  [ 8376.3s] centers=11,237,373  results=0  rate=1,342 centers/s
  [ 8402.0s] centers=11,260,450  results=0  rate=1,340 centers/s
  [ 8428.3s] centers=11,283,322  results=0  rate=1,339 centers/s
  [ 8454.6s] centers=11,306,103  results=0  rate=1,337 centers/s
  [ 8480.5s] centers=11,328,642  results=0  rate=1,336 centers/s
  [ 8506.4s] centers=11,351,065  results=0  rate=1,334 centers/s
  [ 8532.6s] centers=11,373,308  results=0  rate=1,333 centers/s
  [ 8558.9s] centers=11,395,427  results=0  rate=1,331 centers/s
  [ 8584.7s] centers=11,417,434  results=0  rate=1,330 centers/s
  [ 8610.5s] centers=11,439,269  results=0  rate=1,329 centers/s
  [ 8636.6s] centers=11,460,953  results=0  rate=1,327 centers/s
  [ 8662.5s] centers=11,482,493  results=0  rate=1,326 centers/s
  [ 8688.5s] centers=11,503,915  results=0  rate=1,324 centers/s
  [ 8714.3s] centers=11,525,083  results=0  rate=1,323 centers/s
  [ 8740.4s] centers=11,546,206  results=0  rate=1,321 centers/s
  [ 8766.6s] centers=11,567,129  results=0  rate=1,319 centers/s
  [ 8792.3s] centers=11,587,924  results=0  rate=1,318 centers/s
  [ 8818.5s] centers=11,608,569  results=0  rate=1,316 centers/s
  [ 8844.1s] centers=11,629,113  results=0  rate=1,315 centers/s
  [ 8869.9s] centers=11,649,496  results=0  rate=1,313 centers/s
  [ 8895.7s] centers=11,669,714  results=0  rate=1,312 centers/s
