count_bonus_carres,E,A,C,J,H,a,b,c,d,e,f,h,i,j
1,17225,11713,16805,21359,17635,137194369,470499481,282408025,441914281,296700625,151486969,310993225,122901769,456206881
1,17289,10161,14841,22239,19431,103245921,573227361,220255281,415918881,298909521,181900161,377563761,24591681,494573121
1,17300,3980,16924,24140,17668,15840400,595607824,286421776,569871376,299290000,28708624,312158224,2972176,582739600
1,17340,7140,16404,23460,18228,50979600,581955984,269091216,518787216,300675600,82563984,332259984,19395216,550371600
1,17425,6817,16205,23681,18565,46471489,601818361,262602025,519761161,303630625,87500089,344659225,5442889,560789761
1,17680,12944,15920,21392,19280,167547136,516753664,253446400,398481664,312582400,226683136,371718400,108411136,457617664
1,17690,7946,17422,23722,17954,63138916,572143300,303526084,553323268,312936100,72548932,322346116,53728900,562733284
1,17745,9555,14973,23205,20139,91298025,629166321,224190729,447777729,314885025,181992321,405579321,603729,538472025
1,17810,11690,14642,22310,20494,136656100,600544036,214388164,394928164,317196100,239464036,420004036,33848164,497736100
1,17835,8961,16827,23577,18789,80299521,590814225,283147929,520935633,318087225,115238817,353026521,45360225,555874929
1,17875,6325,17237,24475,18491,40005625,621427081,297114169,576624169,319515625,62407081,341917081,17604169,599025625
1,18020,6580,16780,24620,19180,43296400,649296400,281568400,562992400,324720400,86448400,367872400,144400,606144400
1,18020,8692,16780,23956,19180,75550864,617041936,281568400,530737936,324720400,118702864,367872400,32398864,573889936
1,18245,13111,14473,22223,21361,171898321,617274025,209467729,370449433,332880025,295310617,456292321,48486025,493861729
1,18535,10307,16643,24101,20251,106234249,647414977,276989449,514301425,343546225,172791025,410103001,39677473,580858201
1,18590,10010,15686,24310,21098,100200100,690513604,246050596,491438596,345588100,199737604,445125604,662596,590976100
1,18785,7735,17657,25415,19849,59830225,687028801,311769649,604815649,352876225,100936801,393982801,18723649,645922225
1,18785,7735,17771,25415,19747,59830225,682990009,315808441,608854441,352876225,96898009,389944009,22762441,645922225
1,18785,13753,16915,22729,20485,189145009,583366441,286117225,449848441,352876225,255904009,419635225,122386009,516607441
1,18850,12970,15470,23290,21710,168220900,658425700,239320900,426422500,355322500,284222500,471324100,52219300,542424100
1,18921,6909,17619,25851,20139,47734281,715849281,310429161,620699121,358004241,95309361,405579321,159201,668274201
1,19125,14805,16479,22635,21447,219188025,606551409,271557441,418135041,365765625,313396209,459973809,124979841,512343225
1,19210,11290,16490,24710,21590,127464100,707688100,271920100,513480100,369024100,224568100,466128100,30360100,610584100
1,19227,9843,17733,25347,20613,96884649,697688649,314459289,587252169,369677529,152102889,424895769,41666409,642470409
1,19240,13912,14984,23384,22712,193543744,692468800,224520256,401154112,370177600,339201088,515834944,47886400,546811456
1,19435,10465,16399,25415,22057,109516225,754714249,268927201,537130201,377719225,218308249,486511249,724201,645922225
1,19500,6900,18804,26700,20172,47610000,739549584,353590416,686230416,380250000,74269584,406909584,20950416,712890000
1,19695,12171,15495,25053,23145,148133241,775450809,240095025,479854809,387893025,295931241,535691025,335241,627652809
1,19822,7238,18458,27082,21098,52388644,785648644,340697764,681220804,392911684,104602564,445125604,174724,733434724
1,19890,14562,17910,24066,21690,212051844,654016356,320768100,504328356,395612100,286895844,470456100,137207844,579172356
1,20220,11244,18156,26292,22092,126427536,770477328,329640336,612061200,408848400,205635600,488056464,47219472,691269264
1,20230,8330,19138,27370,21266,69388900,792106756,366263044,706127044,409252900,112378756,452242756,26399044,749116900
1,20280,10920,17112,26520,23016,119246400,821768256,292820544,584852544,411278400,237704256,529736256,788544,703310400
1,20723,7567,19297,28313,22057,57259489,858694489,372374209,744557449,429442729,114328009,486511249,190969,801625969
1,20735,14267,17017,25619,23881,203547289,796695097,289578289,515971225,429940225,343909225,570302161,63185353,656333161
1,20995,15371,18905,25403,22895,236267641,728703409,357399025,561921409,440790025,319658641,524181025,152876641,645312409
1,21125,7475,20371,28925,21853,55875625,867943609,414977641,805367641,446265625,87163609,477553609,24587641,836655625
1,21125,11375,17825,27625,23975,129390625,891675625,317730625,634605625,446265625,257925625,574800625,855625,763140625
1,21131,12419,18139,27181,23749,154231561,856302601,329023321,621310921,446519161,271727401,564015001,36735721,738806761
1,21250,16450,18310,25150,23830,270602500,748828900,335256100,516216100,451562500,386908900,567868900,154296100,632522500
1,21279,13899,19419,26691,22989,193182201,788107761,377097561,636711201,452795841,268880481,528494121,117483921,712409481
1,21624,7896,20136,29544,23016,62346816,934986816,405458496,810709056,467597376,124485696,529736256,207936,872847936
1,21625,4975,21155,30175,22085,24750625,930637225,447534025,890424025,467640625,44857225,487747225,4644025,910530625
1,21625,13225,20417,27575,22769,174900625,811167361,416853889,709593889,467640625,225687361,518427361,124113889,760380625
1,21645,15651,16857,26307,25551,244953801,876405825,284158449,507710673,468506025,429301377,652853601,60606225,692058249
1,21675,8925,20505,29325,22785,79655625,909306225,420455025,810605025,469805625,129006225,519156225,30305025,859955625
1,21730,16430,18254,25970,24722,269944900,813425284,333208516,535456516,472192900,408929284,611177284,130960516,674440900
1,21905,12181,19669,28483,23933,148376761,904240753,386869561,718321825,479829025,241336225,572788489,55417297,811281289
1,21905,14527,18355,27361,24955,211033729,891547321,336906025,605701321,479829025,353956729,622752025,68110729,748624321
1,21953,18593,19783,24863,23927,345699649,708735889,391367089,527601649,481934209,436266769,572501329,255132529,618168769
1,21970,11830,18538,28730,24934,139948900,964436356,343657444,686389444,482680900,278972356,621704356,925444,825412900
1,22100,16180,19900,26740,24100,261792400,807427600,396010000,622627600,488410000,354192400,580810000,169392400,715027600
1,22474,5554,22046,31294,22894,30846916,998368996,486026116,960259876,505080676,49901476,524135236,11792356,979314436
1,22516,13676,21284,28756,23684,187032976,880869136,453008656,772945936,506970256,240994576,560931856,133071376,826907536
1,22525,8225,20975,30775,23975,67650625,1014525625,439950625,879675625,507375625,135075625,574800625,225625,947100625
1,22525,10865,20975,29945,23975,118048225,964128025,439950625,829278025,507375625,185473225,574800625,50623225,896703025
1,22570,14518,18970,28426,25670,210772324,957581476,359860900,658493476,509404900,360316324,658948900,61228324,808037476
1,22620,15564,18564,27948,26052,242238096,948133008,344622096,614048400,511664400,409280400,678706704,75195792,781090704
1,22750,8050,21938,31150,23534,64802500,1006609156,481275844,934035844,517562500,101089156,553849156,28515844,970322500
1,22755,14637,20145,28659,25095,214241769,933307281,405821025,709369281,517790025,326210769,629759025,102272769,821338281
1,22815,12285,19251,29835,25893,150921225,1040050449,370601001,740204001,520524225,300844449,670447449,998001,890127225
1,23052,13548,19788,29652,25908,183548304,1019070864,391564944,739411344,531394704,323378064,671224464,43718544,879241104
1,23120,9520,21872,31280,24304,90630400,1034588416,478384384,922288384,534534400,146780416,590684416,34480384,978438400
1,23205,16989,20895,28077,25305,288626121,890188929,436601025,686446929,538472025,390497121,640343025,186755121,788317929
1,23273,14467,18983,29563,26887,209294089,1055249209,360354289,692692729,541632529,390572329,722910769,28015849,873970969
1,23375,18095,20141,27665,26213,327429025,906082969,405659881,624621481,546390625,468159769,687121369,186698281,765352225
1,23426,8554,21814,32006,24934,73170916,1097310916,475850596,951457156,548777476,146097796,621704356,244036,1024384036
1,23590,13118,21182,30674,25774,172081924,1048705252,448677124,833083300,556488100,279892900,664299076,64270948,940894276
1,23660,12740,19964,30940,26852,162307600,1118517904,398561296,796049296,559795600,323541904,721029904,1073296,957283600
1,23780,11948,22436,31436,25052,142754704,1050336400,503374096,926107792,565488400,204869008,627602704,80640400,988222096
1,24050,17390,18730,29230,28390,302412100,1081982500,350812900,626803300,578402500,530001700,805992100,74822500,854392900
1,24310,17798,21890,29414,26510,316768804,976987396,479172100,753379396,590976100,428572804,702780100,204964804,865183396
